trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-138.36901606754918,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,0,-147.27303310581257,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-58.71165895298973,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-32.861669411426575,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-78.6868642807142,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-207.30631127701892,"{0: 15, 1: 2, 2: 1, 3: 4, 4: 3}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-170.55638617211656,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",35,0,-217.28467386925615,"{0: 24, 1: 2, 2: 3, 3: 2, 4: 4}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,12.403556239929149,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,12,9.294125330591582,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-81.77794420798232,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-40.669851518478964,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,10,6.083394139210061,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-5.3307294582555205,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-16.62690668464154,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",30,0,-71.0479269907118,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",35,0,-22.039780791869784,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,8,24.02791181440868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,31.76293686376407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,23,13.677450090128454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",20,0,29.574128389197202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",30,12,-14.582129440775713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'e': 0, 'a': 0}",25,0,30.62277574417039,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",25,9,23.61725541652029,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",30,11,25.741708095576055,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,0,31.369546432561283,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",20,0,-18.85086434242127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'e': 0, 'a': 0}",30,0,-8.38800992860673,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
9,True,"{'e': 0, 'a': 0}",30,0,0.45281624850874236,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'e': 0, 'a': 0}",25,20,9.033441355708472,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
