trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9900498337491681, 'a': 0.1}",35,0,-133.36148679842995,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'e': 0.9801986733067553, 'a': 0.1}",20,0,-79.93089577521084,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'e': 0.9704455335485082, 'a': 0.1}",20,0,-79.28084314081364,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'e': 0.9607894391523232, 'a': 0.1}",20,0,-107.17806698176675,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'e': 0.951229424500714, 'a': 0.1}",25,14,-75.09948877613422,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
6,False,"{'e': 0.9417645335842487, 'a': 0.1}",20,0,-103.14056772350843,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'e': 0.9323938199059483, 'a': 0.1}",25,0,-102.33766940510087,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
8,False,"{'e': 0.9231163463866358, 'a': 0.1}",25,0,-185.73131008408325,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
9,False,"{'e': 0.9139311852712282, 'a': 0.1}",20,0,-143.53196487392813,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'e': 0.9048374180359595, 'a': 0.1}",20,0,-63.27148452728158,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'e': 0.8958341352965282, 'a': 0.1}",30,7,-123.03709877938509,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 2}",1
12,False,"{'e': 0.8869204367171575, 'a': 0.1}",20,0,-21.96546102956245,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'e': 0.8780954309205613, 'a': 0.1}",30,0,-192.74467258598918,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
14,False,"{'e': 0.8693582353988059, 'a': 0.1}",20,14,-10.342548338949666,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'e': 0.8607079764250578, 'a': 0.1}",20,0,-155.65606095467913,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'e': 0.8521437889662113, 'a': 0.1}",25,0,-146.24779400792582,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
17,False,"{'e': 0.8436648165963837, 'a': 0.1}",20,0,-49.277638479337966,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'e': 0.835270211411272, 'a': 0.1}",25,0,-102.56006920568933,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'e': 0.8269591339433623, 'a': 0.1}",20,0,-116.16747064626371,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'e': 0.8187307530779818, 'a': 0.1}",25,0,-43.635066938945506,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
21,False,"{'e': 0.8105842459701871, 'a': 0.1}",25,0,-122.58266771100197,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
22,False,"{'e': 0.8025187979624785, 'a': 0.1}",30,13,-135.03547084988307,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 2}",1
23,False,"{'e': 0.794533602503334, 'a': 0.1}",25,0,-151.2436326264954,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
24,False,"{'e': 0.7866278610665535, 'a': 0.1}",20,0,-118.9278791192937,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
25,False,"{'e': 0.7788007830714049, 'a': 0.1}",25,0,-49.234145959498775,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'e': 0.7710515858035663, 'a': 0.1}",20,0,-95.65024559189587,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
27,False,"{'e': 0.7633794943368531, 'a': 0.1}",20,0,-139.9531723064845,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
28,False,"{'e': 0.7557837414557255, 'a': 0.1}",20,6,-34.42019956030799,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
29,False,"{'e': 0.7482635675785653, 'a': 0.1}",30,0,-33.805349594095546,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'e': 0.7408182206817179, 'a': 0.1}",25,0,-52.98852890701665,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
