trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9900498337491681, 'a': 0.1}",20,0,-156.05500211409205,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
2,False,"{'e': 0.9801986733067553, 'a': 0.1}",20,0,-102.60594935593838,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'e': 0.9704455335485082, 'a': 0.1}",20,0,-100.08614532028467,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'e': 0.9607894391523232, 'a': 0.1}",25,0,-254.30797307393576,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 5}",0
5,False,"{'e': 0.951229424500714, 'a': 0.1}",20,0,-75.53362615372933,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'e': 0.9417645335842487, 'a': 0.1}",20,0,-57.45175229186716,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
7,False,"{'e': 0.9323938199059483, 'a': 0.1}",30,0,-117.57604562573842,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
8,False,"{'e': 0.9231163463866358, 'a': 0.1}",35,0,-301.9775771568721,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 5}",0
9,False,"{'e': 0.9139311852712282, 'a': 0.1}",20,0,-135.24368203440054,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'e': 0.9048374180359595, 'a': 0.1}",35,0,-231.7339038133972,"{0: 19, 1: 6, 2: 6, 3: 0, 4: 4}",0
11,False,"{'e': 0.8958341352965282, 'a': 0.1}",25,3,-29.62143732089315,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'e': 0.8869204367171575, 'a': 0.1}",20,12,-26.36425315436752,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'e': 0.8780954309205613, 'a': 0.1}",20,0,-71.81377581493163,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'e': 0.8693582353988059, 'a': 0.1}",25,0,-113.59650901904818,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'e': 0.8607079764250578, 'a': 0.1}",25,0,-159.91570744541613,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
16,False,"{'e': 0.8521437889662113, 'a': 0.1}",20,0,-86.61769322712829,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'e': 0.8436648165963837, 'a': 0.1}",25,0,-187.6910741104532,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
18,False,"{'e': 0.835270211411272, 'a': 0.1}",25,0,-156.32483301153732,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
19,False,"{'e': 0.8269591339433623, 'a': 0.1}",20,0,-166.90929189849913,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
20,False,"{'e': 0.8187307530779818, 'a': 0.1}",20,0,-44.50973843675871,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,-197.2404401052242,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
2,True,"{'e': 0, 'a': 0}",20,0,-121.17545935224561,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",30,0,-129.82610129844124,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",25,0,-128.42805828485362,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",25,0,-164.84357478094643,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,True,"{'e': 0, 'a': 0}",30,0,-106.85966616197987,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
7,True,"{'e': 0, 'a': 0}",20,0,-114.23985237071723,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,True,"{'e': 0, 'a': 0}",20,0,-112.43293412164199,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,True,"{'e': 0, 'a': 0}",25,8,-177.03538265324266,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 3}",1
10,True,"{'e': 0, 'a': 0}",30,0,-171.59299539360083,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
